text,source
Sadness or melancholy Melody,user
Social gatherings or parties Rap,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
Uplifting and motivational Pop,user
Relaxation and stress relief Melody,user
Social gatherings or parties Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational Pop",user
Relaxation and stress relief Melody,user
Social gatherings or parties Melody,user
Relaxation and stress relief Melody,user
Sadness or melancholy Melody,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
"Relaxation and stress relief Classical & melody, dance",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties classical",user
"Relaxation and stress relief, Sadness or melancholy Rock",user
Relaxation and stress relief Pop,user
Relaxation and stress relief Rap,user
Relaxation and stress relief Old songs,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
Uplifting and motivational Pop,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
Uplifting and motivational Rap,user
Uplifting and motivational Pop,user
"Relaxation and stress relief, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Pop",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
Uplifting and motivational Pop,user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties classical",user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Relaxation and stress relief Melody,user
Sadness or melancholy classical,user
Sadness or melancholy Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Electronic/Dance",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Sadness or melancholy Rap",user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Social gatherings or parties Pop",user
"Relaxation and stress relief, Uplifting and motivational All",user
Relaxation and stress relief classical,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Pop",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy classical",user
Uplifting and motivational Pop,user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Rap,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties Melody",user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Uplifting and motivational Electronic/Dance,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Social gatherings or parties Melody,user
Uplifting and motivational Melody,user
"Uplifting and motivational, Sadness or melancholy Rap",user
Sadness or melancholy Rap,user
Social gatherings or parties Pop,user
Sadness or melancholy Melody,user
Uplifting and motivational classical,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Rap,user
Relaxation and stress relief classical,user
Uplifting and motivational Melody,user
Relaxation and stress relief Melody,user
Sadness or melancholy Rap,user
Uplifting and motivational Rap,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Electronic/Dance,user
Uplifting and motivational classical,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
Relaxation and stress relief classical,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
"Relaxation and stress relief, Uplifting and motivational Rap",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Pop",user
"Relaxation and stress relief, Social gatherings or parties Pop",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Pop",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
Relaxation and stress relief classical,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Sadness or melancholy Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Pop",user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Pop,user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Kpop,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief classical,user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties All",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Pop",user
Uplifting and motivational Pop,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Electronic/Dance",user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational Rap",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational Rap",user
Uplifting and motivational Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Rock,user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
Relaxation and stress relief classical,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Melody",user
Relaxation and stress relief Pop,user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Electronic/Dance,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties classical",user
Uplifting and motivational Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Uplifting and motivational Pop,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Electronic/Dance,user
Relaxation and stress relief classical,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
Uplifting and motivational Pop,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Melody",user
Sadness or melancholy classical,user
"Sadness or melancholy, Social gatherings or parties Rap",user
Uplifting and motivational classical,user
Uplifting and motivational Rap,user
Sadness or melancholy classical,user
Uplifting and motivational classical,user
Uplifting and motivational classical,user
Sadness or melancholy classical,user
Uplifting and motivational classical,user
Uplifting and motivational classical,user
Sadness or melancholy Melody,user
Relaxation and stress relief Rap,user
Uplifting and motivational classical,user
"Uplifting and motivational, Sadness or melancholy classical",user
Relaxation and stress relief classical,user
Uplifting and motivational classical,user
Uplifting and motivational classical,user
"Uplifting and motivational, Sadness or melancholy classical",user
Uplifting and motivational Electronic/Dance,user
Uplifting and motivational Rap,user
Social gatherings or parties classical,user
Social gatherings or parties Melody,user
Relaxation and stress relief Melody,user
Uplifting and motivational Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief trending songs random,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Electronic/Dance,user
Relaxation and stress relief Melody,user
Uplifting and motivational Pop,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Melody",user
"Relaxation and stress relief, Uplifting and motivational Pop",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Pop",user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Relaxation and stress relief classical,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties classical",user
"Relaxation and stress relief, Uplifting and motivational classical",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
Relaxation and stress relief classical,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
Relaxation and stress relief Rock,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Rap",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
"Relaxation and stress relief, Sadness or melancholy Pop",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Uplifting and motivational classical,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
Sadness or melancholy Melody,user
Uplifting and motivational All,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy Pop",user
Social gatherings or parties classical,user
Social gatherings or parties classical,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties classical",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Pop",user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties All",user
"Uplifting and motivational, Sadness or melancholy Pop",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Social gatherings or parties Melody",user
Relaxation and stress relief Rap,user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Pop",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Electronic/Dance",user
Relaxation and stress relief Pop,user
Uplifting and motivational Kpop,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties Melody",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Social gatherings or parties Pop,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Melody",user
Uplifting and motivational classical,user
Sadness or melancholy classical,user
Sadness or melancholy classical,user
Sadness or melancholy Rap,user
Sadness or melancholy classical,user
Uplifting and motivational Rap,user
Uplifting and motivational classical,user
Relaxation and stress relief Melody,user
Sadness or melancholy Rap,user
Sadness or melancholy classical,user
Sadness or melancholy classical,user
Uplifting and motivational Rap,user
"Uplifting and motivational, Sadness or melancholy Pop",user
Uplifting and motivational classical,user
"Uplifting and motivational, Sadness or melancholy classical",user
"Relaxation and stress relief, Sadness or melancholy Melody",user
"Uplifting and motivational, Sadness or melancholy classical",user
"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties classical",user
"Relaxation and stress relief, Sadness or melancholy Rap",user
Social gatherings or parties classical,user
Sadness or melancholy classical,user
Uplifting and motivational classical,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Pop",user
Uplifting and motivational Melody,user
Sadness or melancholy classical,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
Sadness or melancholy classical,user
"Relaxation and stress relief, Sadness or melancholy Rap",user
Relaxation and stress relief Melody,user
Uplifting and motivational Rap,user
"Uplifting and motivational, Sadness or melancholy Rap",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
Uplifting and motivational Rap,user
Sadness or melancholy classical,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational classical",user
Uplifting and motivational Rap,user
Sadness or melancholy classical,user
Uplifting and motivational Rap,user
"Relaxation and stress relief, Uplifting and motivational Melody",user
"Uplifting and motivational, Sadness or melancholy classical",user
"Uplifting and motivational, Social gatherings or parties Melody",user
Uplifting and motivational classical,user
"Uplifting and motivational, Sadness or melancholy classical",user
Sadness or melancholy Melody,user
Sadness or melancholy Melody,user
Sadness or melancholy Rap,user
Sadness or melancholy classical,user
Sadness or melancholy classical,user
"Relaxation and stress relief, Social gatherings or parties Pop",user
Relaxation and stress relief Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties Melody",user
"Relaxation and stress relief, Uplifting and motivational classical",user
Sadness or melancholy classical,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
Uplifting and motivational Pop,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Melody",user
"Relaxation and stress relief, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy Pop",user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
Uplifting and motivational Rap,user
Relaxation and stress relief classical,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy Melody",user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Electronic/Dance",user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties Pop",user
"Relaxation and stress relief, Uplifting and motivational Pop",user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Melody",user
Relaxation and stress relief Pop,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Uplifting and motivational Pop",user
Relaxation and stress relief classical,user
Social gatherings or parties Melody,user
Relaxation and stress relief Melody,user
Relaxation and stress relief Melody,user
"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties Melody",user
