title,description,text,compound,sentiment
Throwbacks,,Throwbacks ,0.0,Neutral
Awesome Playlist,,Awesome Playlist ,0.6249,Positive
korean ,,korean  ,0.0,Neutral
mat,,mat ,0.0,Neutral
90s,,90s ,0.0,Neutral
Wedding,,Wedding ,0.0,Neutral
I Put A Spell On You,,I Put A Spell On You ,0.0,Neutral
2017,,2017 ,0.0,Neutral
BOP,,BOP ,0.0,Neutral
old country ,,old country  ,0.0,Neutral
abby ,,abby  ,0.0,Neutral
VIBE,,VIBE ,0.0,Neutral
relax,,relax ,0.4404,Positive
sleep,,sleep ,0.0,Neutral
90's ,,90's  ,0.0,Neutral
New Songs,,New Songs ,0.0,Neutral
slow hands,,slow hands ,0.0,Neutral
Mom's playlist,,Mom's playlist ,0.0,Neutral
SARAH,,SARAH ,0.0,Neutral
melancholy,,melancholy ,-0.4404,Negative
mixtape,,mixtape ,0.0,Neutral
Sad Songs,,Sad Songs ,-0.4767,Negative
fall '17,,fall '17 ,0.0,Neutral
✔️,,✔️ ,0.0,Neutral
Twenty one pilots,,Twenty one pilots ,0.0,Neutral
run it,,run it ,0.0,Neutral
Winter 2014,,Winter 2014 ,0.0,Neutral
smooth ,,smooth  ,0.0,Neutral
Yeet,,Yeet ,0.0,Neutral
groovy,,groovy ,0.0,Neutral
Garage Rock,,Garage Rock ,0.0,Neutral
Running 2.0,,Running 2.0 ,0.0,Neutral
acoustic,,acoustic ,0.0,Neutral
morning,,morning ,0.0,Neutral
good good,,good good ,0.7003,Positive
Good Vibes,,Good Vibes ,0.4404,Positive
 indie rock,, indie rock ,0.0,Neutral
Hits,,Hits ,0.0,Neutral
tb,,tb ,0.0,Neutral
Country,,Country ,0.0,Neutral
2020,,2020 ,0.0,Neutral
Belters,,Belters ,0.0,Neutral
Road Trippin',,Road Trippin' ,0.0,Neutral
Country,,Country ,0.0,Neutral
taylor swift,,taylor swift ,0.2023,Positive
angst,,angst ,0.0,Neutral
Running 2,,Running 2 ,0.0,Neutral
Spring 2016,,Spring 2016 ,0.0,Neutral
Country,,Country ,0.0,Neutral
Gospel,,Gospel ,0.0,Neutral
SB,,SB ,0.0,Neutral
Kevin,,Kevin ,0.0,Neutral
Christmas,,Christmas ,0.0,Neutral
NB,,NB ,0.0,Neutral
Smooth Jazz,,Smooth Jazz ,0.0,Neutral
Tennessee ,,Tennessee  ,0.0,Neutral
funky,,funky ,-0.1027,Negative
spring 16,,spring 16 ,0.0,Neutral
Gates,,Gates ,0.0,Neutral
Favorite Songs,,Favorite Songs ,0.4588,Positive
Ski,,Ski ,0.0,Neutral
Country,,Country ,0.0,Neutral
hype,,hype ,0.0,Neutral
Awesome Mix,,Awesome Mix ,0.6249,Positive
Elizabeth,,Elizabeth ,0.0,Neutral
PlayStation,,PlayStation ,0.0,Neutral
Ashley,,Ashley ,0.0,Neutral
chill,,chill ,0.0,Neutral
xx,,xx ,0.0,Neutral
art class,,art class ,0.0,Neutral
Random Tunes,,Random Tunes ,0.0,Neutral
boat,,boat ,0.0,Neutral
spanish jams,,spanish jams ,0.0,Neutral
new,,new ,0.0,Neutral
CR,,CR ,0.0,Neutral
Run!!,,Run!! ,0.0,Neutral
winter '17,,winter '17 ,0.0,Neutral
Workout,,Workout ,0.0,Neutral
Traps ,,Traps  ,0.0,Neutral
Dope,,Dope ,0.0,Neutral
Chill,,Chill ,0.0,Neutral
rap,,rap ,0.0,Neutral
Gospel,,Gospel ,0.0,Neutral
Florida,,Florida ,0.0,Neutral
Workout2,,Workout2 ,0.0,Neutral
Gym,,Gym ,0.0,Neutral
Zoned,,Zoned ,0.0,Neutral
relax,,relax ,0.4404,Positive
KPOP,,KPOP ,0.0,Neutral
80's,,80's ,0.0,Neutral
For the Road,,For the Road ,0.0,Neutral
R & B,,R & B ,0.0,Neutral
Tom Petty,,Tom Petty ,-0.2023,Negative
Catchy Songs,,Catchy Songs ,0.0,Neutral
relax,chilllll out,relax chilllll out,0.4404,Positive
roadtrippin,,roadtrippin ,0.0,Neutral
christmas,,christmas ,0.0,Neutral
2012,,2012 ,0.0,Neutral
Dave,,Dave ,0.0,Neutral
bang bang. ,,bang bang.  ,0.0,Neutral
Disneyland,,Disneyland ,0.0,Neutral
#boostyourrun,,#boostyourrun ,0.0,Neutral
LUV,uzi,LUV uzi,0.0,Neutral
latin,,latin ,0.0,Neutral
JAMS,,JAMS ,0.0,Neutral
~Rando~,,~Rando~ ,0.0,Neutral
Party Rock!!,,Party Rock!! ,0.508,Positive
party people,,party people ,0.4019,Positive
The Piano Guys,,The Piano Guys ,0.0,Neutral
Worship,,Worship ,0.296,Positive
Brasileiras,,Brasileiras ,0.0,Neutral
country,,country ,0.0,Neutral
4/20,,4/20 ,0.0,Neutral
2016,,2016 ,0.0,Neutral
Willie,,Willie ,0.0,Neutral
beach,,beach ,0.0,Neutral
Gold Digger,,Gold Digger ,0.0,Neutral
Fall 2015,,Fall 2015 ,0.0,Neutral
dance it out,,dance it out ,0.0,Neutral
greek,,greek ,0.0,Neutral
